s.no, Turn Count, Reset Count, Current Turn, Time, lovelybunny29 score,cuteturtle50 score,lovelybunny29 turn, cuteturtle50 turn, lovelybunny29 left, lovelybunny29 right, lovelybunny29 down, lovelybunny29 bottom ,lovelybunny29 rotate,cuteturtle50 left, cuteturtle50 right, cuteturtle50 down, cuteturtle50 bottom ,cuteturtle50 rotate
1, 1, 0, lovelybunny29, 30129, 0, 0, 1, 0, 9, 0, 5, 0, 6,0, 0, 0, 0, 0
2, 2, 0, cuteturtle50, 14369, 0, 40, 1, 1, 9, 0, 5, 0, 6,1, 11, 0, 3, 1
3, 3, 0, lovelybunny29, 30399, 0, 40, 2, 1, 10, 9, 7, 0, 10,1, 11, 0, 3, 1
4, 4, 0, cuteturtle50, 10951, 0, 40, 2, 2, 10, 9, 7, 0, 10,11, 16, 0, 6, 5
5, 5, 0, lovelybunny29, 20474, 100, 40, 3, 2, 11, 20, 7, 2, 15,11, 16, 0, 6, 5
6, 6, 0, cuteturtle50, 11141, 100, 40, 3, 3, 11, 20, 7, 2, 15,18, 30, 0, 9, 7
7, 7, 0, lovelybunny29, 27239, 100, 40, 4, 3, 16, 24, 8, 2, 25,18, 30, 0, 9, 7
8, 8, 0, cuteturtle50, 10176, 100, 40, 4, 4, 16, 24, 8, 2, 25,33, 35, 2, 11, 9
9, 9, 0, lovelybunny29, 15607, 100, 40, 5, 4, 17, 35, 11, 2, 30,33, 35, 2, 11, 9
10, 10, 0, cuteturtle50, 9967, 100, 40, 5, 5, 17, 35, 11, 2, 30,38, 37, 2, 14, 14
11, 11, 0, lovelybunny29, 12065, 100, 40, 6, 5, 24, 40, 11, 2, 33,38, 37, 2, 14, 14
12, 12, 0, cuteturtle50, 8630, 100, 40, 6, 6, 24, 40, 11, 2, 33,43, 39, 2, 14, 15
13, 13, 0, lovelybunny29, 7050, 100, 40, 7, 6, 29, 40, 11, 2, 34,43, 39, 2, 14, 15
14, 14, 0, cuteturtle50, 3453, 100, 40, 7, 7, 29, 40, 11, 2, 34,47, 39, 2, 15, 15
15, 15, 1, lovelybunny29, 21195, 100, 40, 8, 7, 35, 51, 12, 4, 36,47, 39, 2, 15, 15
16, 16, 1, cuteturtle50, 15909, 100, 40, 8, 8, 35, 51, 12, 4, 36,52, 47, 5, 18, 20
17, 17, 1, lovelybunny29, 24989, 100, 40, 9, 8, 40, 59, 12, 4, 43,52, 47, 5, 18, 20
18, 18, 1, cuteturtle50, 16579, 100, 80, 9, 9, 40, 59, 12, 4, 43,60, 55, 26, 18, 24
19, 19, 1, lovelybunny29, 24968, 100, 80, 10, 9, 49, 62, 12, 4, 51,60, 55, 26, 18, 24
20, 20, 1, cuteturtle50, 7397, 100, 120, 10, 10, 49, 62, 12, 4, 51,64, 61, 26, 21, 30
21, 21, 1, lovelybunny29, 21931, 100, 120, 11, 10, 52, 66, 12, 4, 56,64, 61, 26, 21, 30
22, 22, 1, cuteturtle50, 14003, 100, 160, 11, 11, 52, 66, 12, 4, 56,70, 75, 26, 24, 35
23, 23, 1, lovelybunny29, 18680, 100, 160, 12, 11, 56, 77, 12, 4, 66,70, 75, 26, 24, 35
24, 24, 1, cuteturtle50, 8667, 100, 260, 12, 12, 56, 77, 12, 4, 66,78, 82, 26, 26, 37
25, 25, 1, lovelybunny29, 16360, 100, 260, 13, 12, 66, 79, 12, 4, 72,78, 82, 26, 26, 37
26, 26, 1, cuteturtle50, 8622, 100, 260, 13, 13, 66, 79, 12, 4, 72,86, 87, 26, 28, 40
27, 27, 1, lovelybunny29, 16342, 180, 260, 14, 13, 69, 87, 12, 4, 76,86, 87, 26, 28, 40
28, 28, 1, cuteturtle50, 12889, 180, 300, 14, 14, 69, 87, 12, 4, 76,89, 101, 26, 29, 46
29, 29, 1, lovelybunny29, 7743, 180, 300, 15, 14, 73, 89, 12, 5, 77,89, 101, 26, 29, 46
30, 30, 1, cuteturtle50, 6127, 180, 300, 15, 15, 73, 89, 12, 5, 77,96, 104, 27, 30, 46
